Depmap ID,"CRISPR (DepMap Public 24Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-000182,-0.6953778299862781,SNU869,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma,9.2149747422803,Other
ACH-000183,-1.0264526554012883,L363,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,8.927303898152704,Other
ACH-000187,-0.2911066381436731,CORL311,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,10.15646235027962,Other
ACH-000188,-0.9473546051008205,SCC25,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,9.958074154294884,Other
ACH-000189,-0.37141184511323583,RCC10RGB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,10.3741700760685,Other
ACH-000190,-0.6542342102998017,HDMYZ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,9.86942419515385,Other
ACH-000191,-0.5330591683441828,BHT101,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,9.641022118914458,Other
ACH-000192,-0.5457092472903008,MFE280,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,9.095634375394212,Other
ACH-000167,-0.7428957989203662,KE97,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,9.893559402825325,Other
ACH-000168,-1.3131825964113006,NOMO1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,10.32777717058405,Other
ACH-000169,-0.35668157545404017,RD,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,10.085738002167655,Other
ACH-000172,-0.2936234330485407,TM87,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer,10.15025502130218,Other
ACH-000174,-0.10400371959024479,CAL62,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,10.184875342908285,Other
ACH-000176,-1.3359853573675542,LOUNH91,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.269944831663445,Other
ACH-000178,-0.4735326556879579,HS766T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.394033895367782,Other
ACH-000181,-1.1009696414499828,SCC9,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,9.352396605525067,Other
ACH-000251,-0.21023883795794995,NCIH2887,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,9.87098112422465,Other
ACH-000252,-0.6650751232787913,LS1034,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,10.232660756790276,Other
ACH-000253,-0.2689696414634195,COLO201,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,10.39660478118186,Other
ACH-000255,-0.8011363861070085,LMSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,11.088854476638035,Other
ACH-000256,-0.38968099114748955,COV318,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,9.467727807194285,Other
ACH-000257,-0.38280753956796193,CORL279,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,10.02597004970865,Other
ACH-000258,-0.2323881503813814,DU4475,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,9.70379977870086,Other
ACH-000259,-0.9179366732219514,KELLY,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,9.788065750957792,Other
ACH-000242,-0.355548490945246,RT4,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,9.962592400288928,Other
ACH-000243,-1.654412030313527,DANG,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.564530600816344,Other
ACH-000244,-0.28829821499120173,DKMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,9.894681367623509,Other
ACH-000246,-0.46814081348438474,SLR23,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,,Other
ACH-000247,-0.2416288004442636,OCUM1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,9.82891396505696,Other
ACH-000248,-0.2406741872767031,AU565,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.13429796085958,Other
ACH-000249,-1.666509553224608,CL11,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,10.298864478668811,Other
ACH-000250,-0.4197734475411472,KMRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,10.063125393458789,Other
ACH-000231,-0.2712567780078773,KALS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.374930790581718,Other
ACH-000232,-1.1618123119242187,U251MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,9.827660268629169,Other
ACH-000233,-1.1981327689216816,DEL,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms,9.80390507809366,Other
ACH-000234,-0.5399057814949662,CAKI2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,9.525422929584812,Other
ACH-000235,-0.6272439608547837,PANC0403,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.489948283449031,Other
ACH-000237,-0.42806023781016206,JHOM1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.227495613538771,Other
ACH-000238,-1.1906237187595075,SCC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,10.37275625547881,Other
ACH-000239,-0.6133736084581907,HUG1N,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,10.020702203791044,Other
ACH-000217,-0.4687438063190793,JHH6,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,10.150128062614996,Other
ACH-000219,-0.9255393534921711,A375,Melanoma,Skin,Melanoma,10.74222521324963,Other
ACH-000221,-0.2529042626515881,SNU398,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,10.602142090697985,Other
ACH-000222,-0.47500580275055015,ASPC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.134426320220928,Other
ACH-000223,-0.6587668294063608,HCC1937,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.486633935070165,Other
ACH-000226,-1.1905342440023368,SUPM2,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms,10.344184927105662,Other
ACH-000227,-0.43571552676137404,KPNYN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,10.227375273626212,Other
ACH-000228,-0.7837797477146821,BICR31,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,10.661689039773815,Other
ACH-000293,-0.3514027569124136,KLE,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,10.048895511593392,Other
ACH-000294,-0.5741883590077143,NB4,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,10.659995892429976,Other
ACH-000295,-1.2056725664560521,EM2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,9.984560869841271,Other
ACH-000296,-0.41840107648930347,OUMS23,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,9.510764167917891,Other
ACH-000302,-0.2776388808537843,SNU1077,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,9.513668387006655,Other
ACH-000303,-1.058811320913303,SNU5,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,10.02361575922266,Other
ACH-000304,-0.40490551969387034,WM115,Melanoma,Skin,Melanoma,10.266083758327726,Other
ACH-000305,-0.7306014705916624,ECGI10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,9.18757477051192,Other
ACH-000279,-0.34648307718486465,EWS502,Ewing Sarcoma,Bone,Ewing Sarcoma,10.412252270759412,Other
ACH-000280,-0.6703585421096184,SNU840,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.410451351503994,Other
ACH-000281,-0.24655353356746712,KP2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,9.589145506117015,Other
ACH-000286,-0.26109981841701113,SNU1033,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,9.88099156353912,Other
ACH-000288,-0.4651097615163339,BT549,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.874750866777672,Other
ACH-000290,-0.028697250808148556,NCIH209,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,10.169549250680744,Other
ACH-000291,-0.43502035288654506,OV90,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.360956790657866,Other
ACH-000292,-1.201121435714513,NCIH841,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,10.221103725367875,Other
ACH-000269,-0.31999375808163727,AM38,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.4110872267986,Other
ACH-000271,-1.3401577278216799,SUDHL10,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,9.840935242720764,Other
ACH-000272,-0.2363654213086765,SLR24,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,9.560447480918532,Other
ACH-000273,-0.29066867288253884,SF539,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.039193239847426,Other
ACH-000274,-0.23829658831299327,HS852T,Melanoma,Skin,Melanoma,10.084542673641922,Other
ACH-000276,-0.17277832159109596,HCC38,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.928148216169037,Other
ACH-000277,-1.1332052889089612,HCC1419,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.305491792110685,Other
ACH-000278,-0.7365848811806369,COV362,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.742730476519174,Other
ACH-000260,-0.4848354083892792,SKNAS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,10.386509204077935,Other
ACH-000261,-0.9261595237043576,RERFLCAI,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.754887502163468,Other
ACH-000262,-0.6049701953463128,UOK101,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,10.562433244278344,Other
ACH-000263,-1.1330260270002581,KASUMI1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,9.364090869972133,Other
ACH-000264,-0.45369296801482706,CALU6,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,9.98028241166144,Other
ACH-000265,-1.1553380781289035,KP4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,9.997744026059632,Other
ACH-000266,-0.37830115317202123,SNU213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.27891401949994,Other
ACH-000268,-0.7935293235399443,SNU245,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,9.931786457528649,Other
ACH-000337,-0.2235247483967266,NCIH3122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,9.622710768203806,Other
ACH-000338,-1.040029410599121,SR786,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms,10.125284306685309,Other
ACH-000339,-0.5279371154593718,HCC461,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.99816728997374,Other
ACH-000341,-0.23143832670218406,SKNFI,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,10.822650491646518,Other
ACH-000343,-1.38955745054967,NCIH522,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,9.92237627095138,Other
ACH-000344,-0.14266349252177024,SNU668,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,9.224098172311306,Other
ACH-000346,-0.9746687344351117,JVM3,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,9.44059928574298,Other
ACH-000348,-0.031036398299541634,RPMI7951,Melanoma,Skin,Melanoma,10.764208130139949,Other
ACH-000326,-0.7973426546947167,JURLMK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,9.32535043318951,Other
ACH-000329,-0.33775953831860067,CCFSTTG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,11.137887713102227,Other
ACH-000330,-0.532699958066627,EFM19,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,9.99717948093762,Other
ACH-000331,-0.14729796554281316,ISTMES2,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,10.14414836650889,Other
