Depmap ID,"CRISPR (DepMap Public 24Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-001332,0.0579902247411288,BICR78,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.12267271882414,Other
ACH-001331,0.1373786682659174,BICR10,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-001329,0.0290182686576977,ANGMCSS,Diffuse Glioma,CNS/Brain,Diffuse Glioma,7.425341805736381,Other
ACH-001328,0.027818477088677657,A431,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,5.503984703897613,Other
ACH-001322,0.03515661041565986,CME1,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,5.332349900373874,Other
ACH-001318,0.06479768172461436,PLCPRF5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,5.536985375791937,Other
ACH-001310,0.06301288292122391,HA1E,Non-Cancerous,Kidney,Non-Cancerous,7.424754167004552,Other
ACH-001400,0.41945562418215165,SW954,Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,2.9597701552114675,Other
ACH-001306,0.03772941937168914,8305C,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,7.240028051916184,Other
ACH-001303,-0.03113343439042439,NB1643,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.227278994468321,Other
ACH-001302,0.2618142399882626,COGN305,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.087887100933117,Other
ACH-001301,0.072784565664678,COGN278,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,6.933100474931368,Other
ACH-001300,-0.0503823268506433,CHLA15,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.745775149485796,Other
ACH-001295,0.2194364367728452,Y79,Retinoblastoma,Eye,Retinoblastoma,5.790772037862,Other
ACH-001289,0.25008214809862417,COGAR359,Embryonal Tumor,CNS/Brain,Embryonal Tumor,6.325710207515785,Other
ACH-001283,0.017734590868392602,TC106,Ewing Sarcoma,Bone,Ewing Sarcoma,4.185866545311334,Other
ACH-001518,0.14901134061933258,HEC116,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.00943675560809,Other
ACH-001528,0.04390739507747804,IHH4,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer,6.851998837112446,Other
ACH-001526,-0.016957931936124993,HUO9,Osteosarcoma,Bone,Osteosarcoma,5.669026765509631,Other
ACH-001525,0.11748906346590872,HT3,Cervical Adenocarcinoma,Cervix,Cervical Adenocarcinoma,6.882643049361842,Other
ACH-001524,0.09194540853082415,HSC5,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,5.453846773749929,Other
ACH-001523,0.10422761334426353,HSC1,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,7.968033135278104,Other
ACH-001522,0.08397426059633452,HMY1,Melanoma,Skin,Melanoma,5.597233189086131,Other
ACH-001521,0.03929378772864173,HKA1,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,6.763145958149476,Other
ACH-001520,0.18005354036538732,HG3,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,3.704871964456353,Other
ACH-001529,0.1074590204921118,JAR,Gestational Trophoblastic Disease,Uterus,Gestational Trophoblastic Disease,5.773205156985566,Other
ACH-001517,-0.02848508606058893,HEC1,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,3.786596361890807,Other
ACH-001515,0.09277404264715798,HCS2,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,7.223132900603352,Other
ACH-001513,0.00736401411261442,HCA1,Cervical Adenocarcinoma,Cervix,Cervical Adenocarcinoma,4.714795011118162,Other
ACH-001511,0.13439174246044105,H413,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.113533819591914,Other
ACH-001510,-0.06494122534267706,H376,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.605257262939004,Other
ACH-001509,0.0061736270627006234,H357,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.9886846867721655,Other
ACH-001502,0.21536412448607178,GCT27,Non-Seminomatous Germ Cell Tumor,Testis,Non-Seminomatous Germ Cell Tumor,,Other
ACH-001500,0.06079132819606091,FLO1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.9740703670240265,Other
ACH-001544,0.060922422136591534,KYAE1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-001555,-0.29825220043406137,MERO14,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,6.004726093589011,Other
ACH-001554,-0.016449843372256745,MEL202,Ocular Melanoma,Eye,Ocular Melanoma,5.759954742011304,Other
ACH-001552,-0.04933963210407395,MCC26,Merkel Cell Carcinoma,Skin,Merkel Cell Carcinoma,7.070067261802129,Other
ACH-001551,0.1831354202819943,MCC142,Merkel Cell Carcinoma,Skin,Merkel Cell Carcinoma,7.522620761042079,Other
ACH-001550,-0.06450980111036471,MCC13,Merkel Cell Carcinoma,Skin,Merkel Cell Carcinoma,7.501757585738664,Other
ACH-001549,0.1370754812370267,LU135,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.682011390800693,Other
ACH-001548,0.045431866436076246,LS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.848998430400023,Other
ACH-001547,0.039558899573139225,LO68,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,6.149950301681046,Other
ACH-001498,-0.09874342069702093,FARAGE,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,6.77663042305105,Other
ACH-001543,-0.05514044859307883,KOSC2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.001351892999959,Other
ACH-001542,0.08647242153153581,KON,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.109151579170521,Other
ACH-001539,0.34365936908957395,KML1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.168321115739722,Other
ACH-001538,0.29921004054500294,KKU213,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,9.056014444614284,Other
ACH-001536,0.1259749862399877,KKU100,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,7.168621980161422,Other
ACH-001533,0.19854293036940718,KARPAS1718,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,4.214124805352848,Other
ACH-001532,-0.025510424431910456,JMURTK2,Rhabdoid Cancer,Kidney,Rhabdoid Cancer,4.896271848807375,Other
ACH-001530,0.17926456124722545,JEG3,Gestational Trophoblastic Disease,Uterus,Gestational Trophoblastic Disease,6.557195624528546,Other
ACH-001413,0.07026430913359409,UMUC11,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.595294784005977,Other
ACH-001430,-0.07420357225245476,TC138,Ewing Sarcoma,Bone,Ewing Sarcoma,5.100977647724821,Other
ACH-001422,-0.0038536924595924116,WPE1NA22,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,6.573495715495609,Other
ACH-001421,0.03323970930952366,WERIRB1,Retinoblastoma,Eye,Retinoblastoma,5.661350569233997,Other
ACH-001419,-0.014882688741384001,VP229,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,4.482202926295956,Other
ACH-001418,0.011098204000984824,UWB1289,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.598722499676621,Other
ACH-001416,0.04380625663244152,UMUC9,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.882398504053875,Other
ACH-001415,-0.1386758275858429,UMUC7,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.697106574476975,Other
ACH-001414,-0.021626290765709613,UMUC6,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.733625498408233,Other
ACH-001431,0.14697405194643262,TC205,Ewing Sarcoma,Bone,Ewing Sarcoma,4.885574364371426,Other
ACH-001412,0.08358428444685845,UMUC10,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,7.400879436282184,Other
ACH-001411,0.053108984624671826,UMUC5,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,6.164705840182799,Other
ACH-001409,-0.00809523418397684,UMUC16,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,7.656067273725599,Other
ACH-001408,0.2075507410382241,UMUC14,Urethral Cancer,Bladder/Urinary Tract,Urethral Cancer,6.92552476974757,Other
ACH-001407,0.047196136638273586,UMUC13,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.944389962270092,Other
ACH-001403,0.09797766643972414,TO14,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,7.598573637782986,Other
ACH-001402,0.21970148663211053,SW756,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,8.540786741527597,Other
ACH-001401,-0.08354780353963116,SW13,Adrenocortical Carcinoma,Adrenal Gland,Adrenocortical Carcinoma,5.459759466619821,Other
ACH-001459,-0.23753850274221505,C80,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.469885976274464,Other
ACH-001497,0.27814390121096344,ESO51,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.18308946064076,Other
ACH-001496,0.09664282793161255,ESO26,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.960812857956555,Other
ACH-001495,0.061973551023499454,EMTOKA,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.7300964655954685,Other
ACH-001494,0.058731265106409025,EGI1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,5.118941072723508,Other
ACH-001484,0.24902041298730493,CI,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.817879031830138,Other
ACH-001481,-0.023869778725030474,CHLA90,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.427270935173585,Other
ACH-001461,-0.06678273724302548,C99,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,3.594548549550354,Other
ACH-001460,-0.3217206090794014,C84,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.775050541483175,Other
ACH-001193,-0.1382909675432924,SKPNDW,Ewing Sarcoma,Bone,Ewing Sarcoma,5.760753208062987,Other
ACH-001458,-0.07071386688535249,C75,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,3.919340082442013,Other
ACH-001454,0.2938763738819318,C10,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.912530114323083,Other
ACH-001453,-0.13730021174805207,BPH1,Non-Cancerous,Prostate,Non-Cancerous,7.528102429302396,Other
ACH-001451,-0.20465868926809333,BOKU,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,6.749534267669262,Other
ACH-001450,0.3140938795833977,BLUE1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,4.115199749385445,Other
ACH-001443,-0.009153461836071727,ASH3,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,8.225448468610738,Other
ACH-001442,-0.10758845024861306,A388,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,7.303050084681673,Other
ACH-001433,-0.10289143774655828,CCLFPEDS0008T,Epithelioid Sarcoma,Soft Tissue,Epithelioid Sarcoma,,Other
ACH-000919,-0.010555817463957173,IM95,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,4.501439145158873,Other
ACH-000932,0.7469395181704859,SNU1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.686780634948565,Other
ACH-000929,0.06483572437494967,NCIH2110,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.729552770453971,Other
ACH-000928,0.15951095047687358,JHUEM1,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.255311886359598,Other
ACH-000926,0.10489835304119449,HT55,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,3.8268026842858265,Other
ACH-000924,-0.08026597058901604,NCIH2172,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.245077275359671,Other
ACH-000922,0.5672766244006973,RCHACV,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.083638879250706,Other
ACH-000921,0.3528279284312256,NCIH157DM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.402926780581626,Other
ACH-000920,0.21877608530252712,CMLT1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,6.154413085174967,Other
ACH-000934,0.3315364525603281,MDAMB361,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,6.643567621908798,Other
ACH-000917,-0.12910102572213344,TE4,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,6.913727173005176,Other
ACH-000916,-0.08884396121868703,NCIH1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.292413667827485,Other
ACH-000915,-0.13823242475868125,IPC298,Melanoma,Skin,Melanoma,5.383358695385111,Other
ACH-000914,-0.23949784281682773,HT,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,6.002477503606243,Other
ACH-000913,0.05410466662983873,ESS1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal,7.22486992494269,Other
ACH-000912,0.17843782924399254,NCIH2286,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.652773284510777,Other
ACH-000911,0.05548805220659104,NUGC3,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.926592510051067,Other
ACH-000910,0.1465467937685683,MDAMB453,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,4.4356285940520905,Other
ACH-000945,0.10874192746926568,NCIH650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.239168878665448,Other
ACH-000958,0.19083447223019945,SW48,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.754887502163468,Other
ACH-000957,0.24132722840817333,LS180,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.1969217338203295,Other
ACH-000956,0.09196375169231814,22RV1,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,6.14588121129242,Other
ACH-000953,0.3520313926558776,SUPT1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,5.307064162255372,Other
ACH-000950,0.1918367182404869,LOVO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.819157223674968,Other
ACH-000948,0.0749242534569059,2313287,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.3995129241829645,Other
ACH-000947,0.11120901252917971,OVK18,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.860466258517167,Other
ACH-000946,0.15354635800001876,HEC265,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,7.241554208795974,Other
ACH-000907,0.5349759165403218,SNU349,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,4.57106999816771,Other
ACH-000944,0.20710163058917652,NAMALWA,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,4.92362461136832,Other
ACH-000943,0.09357111868336504,RKO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.232660756790275,Other
ACH-000941,0.03570594110024081,HEC1B,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.169925001442312,Other
ACH-000939,0.04761513198751173,SKUT1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal,6.016139702655253,Other
ACH-000938,0.18206642729727773,NALM6,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.744699314207836,Other
ACH-000937,0.2477263192325565,PF382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,5.429950657403768,Other
ACH-000936,0.09413367825332303,EFO27,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,7.013238915113665,Other
ACH-000935,0.0980197247504137,MDST8,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.987548258953743,Other
ACH-000867,0.07324112946823971,CHAGOK1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.155020578358575,Other
ACH-000880,0.09687369104205651,AGS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,7.307883849494871,Other
ACH-000879,0.11390804375089339,MFE296,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.575463612084407,Other
ACH-000878,0.28696539492837714,HCC15,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.244696817804489,Other
ACH-000876,0.16826863159150135,MDAMB415,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.145677455195635,Other
ACH-000873,0.23661311536244212,KYSE270,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5.854245054220128,Other
ACH-000872,0.02797245640314769,HCC515,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.036723106005525,Other
ACH-000871,0.07585130395722783,NCIH510,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.071247819461442,Other
ACH-000869,0.18869592563426013,NCIH1568,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.124328135002202,Other
ACH-000881,0.16452793063842586,MELJUSO,Melanoma,Skin,Melanoma,6.729960561018015,Other
ACH-000866,0.11221567248727496,NCIH1048,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.7238315664953205,Other
ACH-000865,0.08800214047761525,KYSE450,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,6.47800105583793,Other
ACH-000864,0.21003579357860003,COLO684,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.622930350920177,Other
ACH-000863,0.16961649643364957,DBTRG05MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,7.370861740085285,Other
ACH-000862,-0.22185262785473225,KMBC2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.862327400517986,Other
ACH-002687,0.23546509234271074,WM3772F,Ocular Melanoma,Eye,Ocular Melanoma,4.369466483650723,Other
ACH-000860,0.23164287254440613,NCIH358,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.596637034102074,Other
ACH-000859,-0.09588404416098152,HCC1954,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ,7.540476801134141,Other
ACH-000894,0.02393657032777151,NCIH1869,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.588564737401351,Other
